Date,Open,High,Low,Close,Adj Close,Volume
2023-05-18,1.280000,1.310000,1.200000,1.310000,1.310000,32300
2023-05-19,1.340000,1.340000,1.210000,1.230000,1.230000,39700
2023-05-22,1.290000,1.290000,1.190000,1.190000,1.190000,20200
2023-05-23,1.240000,1.242000,1.200000,1.240000,1.240000,15800
2023-05-24,1.270000,1.270000,1.154000,1.210000,1.210000,22400
2023-05-25,1.150000,1.218000,1.150000,1.180000,1.180000,27000
2023-05-26,1.180000,1.180000,1.140000,1.150000,1.150000,10000
2023-05-30,1.180000,1.190000,1.130000,1.170000,1.170000,23900
2023-05-31,1.200000,1.220000,1.130000,1.200000,1.200000,11700
2023-06-01,1.170000,1.200000,1.130000,1.160000,1.160000,10900
2023-06-02,1.173000,1.240000,1.170000,1.190000,1.190000,12700
2023-06-05,1.164000,1.215000,1.164000,1.190000,1.190000,13200
2023-06-06,1.210000,1.220000,1.159000,1.180000,1.180000,21100
2023-06-07,1.172000,1.240000,1.160000,1.210000,1.210000,19700
2023-06-08,1.205000,1.280000,1.160000,1.230000,1.230000,31800
2023-06-09,1.230000,1.270000,1.203000,1.220000,1.220000,31600
2023-06-12,1.237000,1.350000,1.230000,1.300000,1.300000,63300
2023-06-13,1.260000,1.300000,1.250000,1.260000,1.260000,36800
2023-06-14,1.310000,1.350000,1.190000,1.190000,1.190000,58300
2023-06-15,1.200000,1.259000,1.126000,1.160000,1.160000,47000
2023-06-16,1.180000,1.210000,1.140000,1.140000,1.140000,17900
2023-06-20,1.150000,1.280000,1.150000,1.200000,1.200000,32700
2023-06-21,1.210000,1.222000,1.150000,1.170000,1.170000,28900
2023-06-22,1.200000,1.220000,1.170000,1.180000,1.180000,15500
2023-06-23,1.170000,1.210000,1.160000,1.160000,1.160000,36800
2023-06-26,1.210000,1.210000,1.140000,1.200000,1.200000,24100
2023-06-27,1.200000,1.210000,1.170000,1.190000,1.190000,11800
2023-06-28,1.175000,1.195000,1.140000,1.170000,1.170000,13000
2023-06-29,1.165000,1.200000,1.165000,1.200000,1.200000,16000
2023-06-30,1.210000,1.260000,1.184000,1.240000,1.240000,9100
2023-07-03,1.220000,1.240000,1.210000,1.240000,1.240000,6500
2023-07-05,1.200000,1.280000,1.180000,1.250000,1.250000,17300
2023-07-06,1.190000,1.250000,1.160000,1.240000,1.240000,26600
2023-07-07,1.200000,1.240000,1.200000,1.230000,1.230000,17500
2023-07-10,1.234000,1.240000,1.172000,1.210000,1.210000,13900
2023-07-11,1.270000,1.270000,1.180000,1.205000,1.205000,16400
2023-07-12,1.220000,1.240000,1.180000,1.240000,1.240000,7700
2023-07-13,1.200000,1.250000,1.190000,1.250000,1.250000,10900
2023-07-14,1.230000,1.230000,1.190000,1.230000,1.230000,14400
2023-07-17,1.230000,1.330000,1.200000,1.280000,1.280000,121300
2023-07-18,1.250000,1.310000,1.190000,1.230000,1.230000,24800
2023-07-19,1.260000,1.260000,1.192000,1.230000,1.230000,20300
2023-07-20,1.270000,1.270000,1.210000,1.220000,1.220000,8900
2023-07-21,1.250000,1.250000,1.190000,1.200000,1.200000,11200
2023-07-24,1.230000,1.230000,1.200000,1.220000,1.220000,10100
2023-07-25,1.200000,1.239000,1.180000,1.191000,1.191000,11900
2023-07-26,1.210000,1.210000,1.120000,1.120000,1.120000,58300
2023-07-27,1.160000,1.160000,1.070000,1.110000,1.110000,11400
2023-07-28,1.118000,1.160000,1.110000,1.110000,1.110000,42500
2023-07-31,1.110000,1.168000,1.110000,1.160000,1.160000,19300
2023-08-01,1.160000,1.160000,1.100000,1.120000,1.120000,22500
2023-08-02,1.130000,1.130000,1.070000,1.078000,1.078000,23100
2023-08-03,1.100000,1.100000,1.050000,1.077000,1.077000,30800
2023-08-04,1.070000,1.070000,1.030000,1.035000,1.035000,15800
2023-08-07,1.070000,1.100000,1.000000,1.070000,1.070000,58900
2023-08-08,1.050000,1.050000,1.010000,1.020000,1.020000,13200
2023-08-09,1.050000,1.050000,0.870000,0.870000,0.870000,215600
2023-08-10,0.844000,0.903000,0.620000,0.780000,0.780000,145900
2023-08-11,0.760000,0.791000,0.690000,0.700000,0.700000,41900
2023-08-14,0.706000,0.785000,0.700000,0.732000,0.732000,15500
2023-08-15,0.710000,0.773000,0.710000,0.721000,0.721000,13100
2023-08-16,0.742000,0.792000,0.735000,0.750000,0.750000,4200
2023-08-17,0.780000,0.817000,0.750000,0.788000,0.788000,34600
2023-08-18,0.790000,0.846000,0.750000,0.800000,0.800000,28600
2023-08-21,0.800000,0.850000,0.750000,0.800000,0.800000,16000
2023-08-22,0.771000,0.850000,0.771000,0.800000,0.800000,30500
2023-08-23,0.800000,0.950000,0.800000,0.850000,0.850000,49000
2023-08-24,0.930000,0.950000,0.863000,0.944000,0.944000,33600
2023-08-25,0.944000,0.990000,0.941000,0.962000,0.962000,27100
2023-08-28,0.983000,1.080000,0.900000,1.010000,1.010000,53700
2023-08-29,1.000000,1.050000,0.865000,0.990000,0.990000,40100
2023-08-30,0.990000,1.000000,0.950000,1.000000,1.000000,13100
2023-08-31,0.960000,1.040000,0.960000,1.000000,1.000000,11600
2023-09-01,1.000000,1.000000,0.950000,0.965000,0.965000,5900
2023-09-05,0.980000,1.000000,0.940000,0.950000,0.950000,9400
2023-09-06,0.945000,0.980000,0.940000,0.980000,0.980000,22400
2023-09-07,0.930000,0.940000,0.900000,0.910000,0.910000,8800
2023-09-08,1.010000,1.080000,0.919000,1.000000,1.000000,21400
2023-09-11,0.990000,1.130000,0.990000,1.000000,1.000000,31800
2023-09-12,1.050000,1.050000,0.990000,1.030000,1.030000,9200
2023-09-13,1.070000,1.310000,1.040000,1.150000,1.150000,644000
2023-09-14,1.150000,1.150000,1.070000,1.070000,1.070000,55700
2023-09-15,1.040000,1.089000,0.962000,1.030000,1.030000,6800
2023-09-18,1.019000,1.033000,0.920000,0.962000,0.962000,33800
2023-09-19,1.000000,1.000000,0.960000,0.960000,0.960000,5300
2023-09-20,0.950000,0.960000,0.915000,0.930000,0.930000,10900
2023-09-21,0.930000,0.945000,0.891000,0.935000,0.935000,14300
2023-09-22,0.950000,0.998000,0.930000,0.990000,0.990000,6000
2023-09-25,0.990000,1.070000,0.933000,1.060000,1.060000,12400
2023-09-26,1.090000,1.180000,0.981000,1.100000,1.100000,24400
2023-09-27,1.121000,1.140000,1.100000,1.110000,1.110000,4900
2023-09-28,1.120000,1.120000,1.020000,1.100000,1.100000,5600
2023-09-29,1.050000,1.150000,1.050000,1.135000,1.135000,10800
2023-10-02,1.160000,1.160000,1.080000,1.129000,1.129000,3600
2023-10-03,1.090000,1.127000,1.060000,1.063000,1.063000,4300
2023-10-04,1.110000,1.110000,1.020000,1.090000,1.090000,3500
2023-10-05,1.080000,1.080000,1.050000,1.050000,1.050000,900
2023-10-06,1.000000,1.170000,1.000000,1.080000,1.080000,7900
2023-10-09,1.075000,1.095000,1.000000,1.080000,1.080000,2800
2023-10-10,1.040000,1.080000,1.016000,1.070000,1.070000,5900
2023-10-11,1.040000,1.083000,1.010000,1.010000,1.010000,4200
2023-10-12,1.073000,1.073000,0.930000,0.960000,0.960000,18600
